short,full
США,соединенные штаты америки
ООН,организация объединенных наций
МИД,министерство иностранных дел
КНР,китай
КНДР,корея
ЛНР,луганская народная республика
ДНР, донекая народная республика
РФ,Российская Федерация
ВВС,Военно воздушные силы
ПВО,противо воздушная оборона
ЮАР,южно африканская республика
ОДКБ,объединенный договор коллективной безопасности
МАГАТЭ, Международное агентство по атомной энергии
НУЯБ,Национальное управление ядерной безопасности
РСХБ, Россельхоз банк
ВСУ, вооруженные силы украины
ГУР, главное управление разведки Украины
АЭС, атомная электро (энерго) станция
НОАК, народно освободительная армия китая
ВМС, военно морские силы
ЕС, европейский союз
СНБ, служба национальной безопасности республики армения
РА, республика армения
СБУ, служба безопасности украины
НАТО, североаталнтический альянс военный блок возглавляемый соединенными штатами америки
