date_,source,post_text,cluster number,ner
"Aug 4, 2022 @ 03:00:00.000",https://t.me/mislinemisli,Российские еврооблигации в международных Euroclear и Clearstream.Международные инвесторы из-за падения рейтинга и исключения из бенчмарков российских еврооблигаций активно их продают с большим дисконтом. Их можно приобрести в РСХБ Управление активами с ожиданием восстановления цены или погашения по номиналу.,экономика,"{""Euroclear"": ""ORG""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/mislinemisli,"В Британии отложили голосование о выборе нового премьера страны из-за риска хакерских атак. Процедуру перенесли на полторы недели, пишет The Telegraph.После отставки Бориса Джонсона Консервативной партии нужно выбрать себе нового лидера и по совместительству премьер-министра. Кандидаты: экс-глава Минфина Риши Сунка Премьер министр Великобритании и глава министерство инстранных дел Лиз Трасс.Кроме того, отмечается, что на этот раз члены партии впервые смогут выбрать кандидата не только по почте, но и онлайн, а также им дадут возможность в последний момент «переголосовать».@rt_russian",интернет,"{""Британии"": ""LOC"", ""The Telegraph"": ""ORG"", ""Бориса Джонсона"": ""PER"", ""Минфина"": ""ORG"", ""Риши Сунка Премьер министр Великобритании"": ""PER"", ""министерство инстранных дел"": ""ORG"", ""Лиз Трасс"": ""PER""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/mislinemisli,"Вашингтон включил в «чёрный список» два с половиной десятка российских самолетов, которые якобы нарушали экспортный контроль. 25 самолетов Airbus A320, A321 и A330, которые находятся в эксплуатации у российских авиакомпаний Red Wings, Nordwind, S7 Airlines, I-Fly и Yamal Airlines включены Минторгом соединенные штаты америки в санкционный список. Они будут ограничены в техническом обслуживании, дозаправках и обеспечении запчастями. Прецедент не уникальный. Еще в марте правительство соединенные штаты америки запретило обслуживать около сотни самолетов, которые летали в Российская Федерация после введения антироссийских санкций. Под «прицел», в число прочих, попал Gulfstream G560 Романа Абрамовича.",санкции,"{""Вашингтон"": ""LOC"", ""Airbus A320"": ""ORG"", ""A321"": ""PER"", ""A330"": ""PER"", ""Red Wings"": ""ORG"", ""Nordwind"": ""ORG"", ""S7 Airlines"": ""ORG"", ""Fly"": ""ORG"", ""Yamal Airlines"": ""ORG"", ""Минторгом"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Российская Федерация"": ""LOC"", ""Gulfstream G560"": ""ORG"", ""Романа Абрамовича"": ""PER""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nevzorovtv,".Ну, значит, на украинских полях,к российскому бекону добавится корейка. Невзоров @nevzorovtv",украина,"{""Невзоров"": ""PER"", ""nevzorovtv"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nevzorovtv,"В Мариупол город в Донецкой народной республике оккупанты уничтожают памятник погибшим героям Украины. Дураки. Лишили себя права на истерику по поводу сноса совковых мемориалов в Балтии, Чехии, Берлине и т.д.  А снесут всё во всем мире.  После этого «Мариупол город в Донецкой народной республикиьского хамства» все вопли  о «памятниках» с русских трибун превращаются в простое фиглярство. Око за око. Невзоров @nevzorovtv",украина,"{""Мариупол город в Донецкой народной республикие"": ""LOC"", ""Украины"": ""LOC"", ""Дураки"": ""LOC"", ""Лишили"": ""LOC"", ""Балтии"": ""LOC"", ""Чехии"": ""LOC"", ""Берлине"": ""LOC"", ""Мариупол город в Донецкой народной республикиьского хамства"": ""ORG"", ""Око"": ""PER"", ""Невзоров @"": ""PER"", ""nevzorovtv"": ""ORG""}"
"Aug 2, 2022 @ 03:00:00.000",https://t.me/nevzorovtv,"Нет, ну это в чистом виде издевательство. Исключительное свинство.  Когда весь мир ждёт от спецслужб соединенные штаты америки смерть реального террориста №1,  уже убившего ради своих капризов 150 тысяч человек и мечтающего спалить планету в ядерном пламени, американцы «мочат» какого-то бородатого тихушника, о котором все давно забыли и бахвалятся этим, как будто бы спасли мир. Бред какой-то. Невзоров @nevzorovtv",ядерное,"{""соединенные штаты америки"": ""LOC"", ""Бред"": ""PER"", ""Невзоров"": ""PER"", ""nevzorovtv"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Британцам следует сократить время приема душа хотя бы на минуту, чтобы избежать дефицита воды Об этом сообщила газета ""Санди таймс"" со ссылкой на источники в компаниях, занимающихся водоснабжением в королевстве.",экономика,"{""Санди"": ""PER""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"900-летний деревянный мост сгорел в Китае Национальная китайская реликвия, мост Пиннань Ваньань, загорелся вечером 6 августа. Несмотря на усилия пожарных, древняя конструкция сгорела до тла и обрушилась. Причины случившегося устанавливаются.",пожар,"{""Китае"": ""LOC"", ""Национальная"": ""ORG"", ""Пиннань Ваньань"": ""PER""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"На Кубе горит нефтехранилище в порту провинции Матансас Пожар начался после удара молнии, погиб один человек, более 120 пострадали, пропавшими без вести числятся 17.Самолет Военно воздушные силы Мексики помогает в тушении пожара.",пожар,"{""Кубе"": ""ORG"", ""Матансас"": ""LOC"", ""Военно воздушные силы"": ""ORG"", ""Мексики"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Число жертв израильских ударов по сектору Газа выросло до 24, а число пострадавших — до 203Такие данные приводит Минздрав прибрежного анклава, на который ссылается телеканал Sky News Arabia.",израиль,"{""Газа"": ""LOC"", ""Минздрав"": ""ORG"", ""Sky News Arabia"": ""ORG""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Тайвань заявил, что китайские военные репетировали нападение на островПо данным Министерства обороны Тайваня, во время военных учений 14 китайских самолетов пересекли медианную линию Тайваньского пролива, которая считается линией разграничения между Тайванем и Китаем.",китай тайвань,"{""Министерства обороны"": ""ORG"", ""Тайваня"": ""LOC"", ""Тайваньского пролива"": ""ORG"", ""Тайванем"": ""LOC"", ""Китаем"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,В Алчевске (под контролем луганская народная республика) попал снаряд в жилой домСообщается об одном погибшем и девяти пострадавших.,украина,{}
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Радикалы из террористической группировки ""Исламский джихад"" с вечера пятницы выпустили по Израилю не менее 380 ракет, 90 из них упали на территории палестинского анклава, сообщило израильское радио ""Кан"".",израиль,"{""Исламский джихад"": ""ORG"", ""Израилю"": ""LOC"", ""Кан \"""": ""PER""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Джо Байден снова вылечился от коронавируса Президент соединенные штаты америки сдал отрицательный тест на коронавирус, сообщил его лечащий врач",ковид,"{""Джо Байден"": ""PER"", ""соединенные штаты америки"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Белый дом осудил власти штата Индиана за принятие первого в стране закона, ограничивающего аборты, и призвал конгресс восстановить гарантии репродуктивных свобод на федеральном уровне.",экономика,"{""Белый дом"": ""LOC"", ""Индиана"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,Армия Израиля показывает кадры уничтожения наблюдательного поста в секторе Газа,израиль,"{""Израиля"": ""LOC"", ""Газа"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"По меньшей мере 15 человек погибли, еще 125 пострадали в результате израильских ударов по сектору Газа — Минздрав",израиль,"{""Газа"": ""LOC"", ""Минздрав"": ""ORG""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Болгария продолжает выдачу туристических виз россиянам, но сроки оказания таких услуг увеличились по техническим причинам, — заявило посольство Болгарии в Москве",санкции,"{""Болгарии"": ""LOC"", ""Москве"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Министерство обороны Тайваня заявили, что 20 самолетов Военно воздушные силы Китая вошли в зону противо-воздушная оборона Тайваня в субботу, 14 китайских военных кораблей провели учения в водах Тайваня, 14 китайских самолетов пересекли срединную линию Тайваньского пролива",китай тайвань,"{""Министерство обороны"": ""ORG"", ""Военно воздушные силы"": ""ORG"", ""Китая"": ""LOC"", ""противо-воздушная оборона"": ""ORG"", ""Тайваня"": ""PER"", ""Тайваньского пролива"": ""ORG""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Президент Турции заявил, что подписал с Россией дорожную карту по экономическому сотрудничествуСтраны намерены довести товарооборот до $100 миллиард.",экономика,"{""Турции"": ""LOC"", ""Россией"": ""LOC""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки перенесли запланированное на эту неделю испытание межконтинентальной баллистической ракеты Minuteman 3, чтобы избежать напряженности с китайская народная республика — СМИ",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""китайская народная республика"": ""LOC"", ""СМИ"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Власти Шри-Ланки арестовали Иосифа Сталина — одного из лидеров оппозиции, добившейся отставки президентаНовый глава государства начал ""зачистку"" протестного движения: полиция задержала нескольких активистов, среди которых оказался и полный тёзка советского политика.Сталин работает в профсоюзе учителей Шри-Ланки, а весной начал активно выступать за смену действующей власти.",арест,"{""Иосифа Сталина"": ""PER"", ""Сталин"": ""PER"", ""Шри"": ""PER"", ""Ланки"": ""PER""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,В южная африканская республика зафиксирована первая смерть из-за синдрома Гийена-Барре после вакцины J&J от COVID,ковид,"{""южная африканская республика"": ""LOC"", ""Гийена"": ""PER"", ""Барре"": ""ORG"", ""J & J"": ""ORG"", ""COVID"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Суд оставил Марину Ракову в СИЗО Срок содержания под стражей продлен до 9 октября 2022 года, пишет агентство.",арест,"{""Марину Ракову"": ""PER"", ""СИЗО"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Япония заявила протест Китаю после того, как пять выпущенных китайской армией ракет упали в её исключительной экономической зоне — агентство Kyodo",китай тайвань,"{""Япония"": ""LOC"", ""Китаю"": ""LOC"", ""Kyodo"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Соединенные Штаты запустили на орбиту очередной спутник системы предупреждения о ракетном нападении SBIRS нового поколения GEO 6, сообщила компания-оператор United Launch Alliance.",соединенные штаты америки,"{""Соединенные Штаты"": ""LOC"", ""SBIRS"": ""ORG"", ""GEO"": ""PER"", ""United Launch Alliance"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"В России за первые шесть месяцев 2022 года число погибших в ДТП с электросамокатами и другими средствами индивидуальной мобильности (СИМ) выросло вдвое6 человек погибли, еще 382 получили ранения. Чаще всего аварии квалифицировались как наезд на пешеходов.",происществия,"{""России"": ""LOC"", ""СИМ"": ""ORG"", ""Чаще"": ""ORG""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Визит спикера Палаты представителей Конгресса соединенные штаты америки Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки в демилитаризованную зону на границе с корейская народно демократическая республика является важным сигналом, направленным на сдерживание Пхеньяна, заявил президент Республики Корея Юн Сок Ёль.",прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Палаты представителей"": ""ORG"", ""Конгресса"": ""ORG"", ""соединенные штаты америки"": ""LOC"", ""Нэнси Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""корейская народно демократическая республика"": ""LOC"", ""Пхеньяна"": ""LOC"", ""Республики Корея"": ""LOC"", ""Юн Сок Ёль"": ""PER""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,объединенный договор коллективной безопасности в связи с обострением в Нагорном Карабахе призывает стороны воздержаться от применения силы — генсек объединенный договор коллективной безопасности,нагорный карабах,"{""объединенный договор коллективной безопасности"": ""ORG"", ""Нагорном Карабахе"": ""PER""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,Армия Израиля нанесла удар по сектору ГазаБоевые самолеты Военно воздушные силы Израиля нанесли удары по объектам военной инфраструктуры в секторе Газа.Целью израильского удара стала одна из высоток. В граничащих с сектором Газа районах Израиля введено чрезвычайное положение.,израиль,"{""Израиля"": ""LOC"", ""Газа"": ""LOC"", ""Военно воздушные силы"": ""ORG""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Истребители японских сил самообороны поднимались по тревоге из-за двух китайских беспилотников, совершавших полет над островами Сакисима на юге префектуры Окинава, сообщила газета ""Иомиури""Беспилотник-разведчик и беспилотник-камикадзе вошли из Восточно-Китайского моря в район Тихого океана около островов Сакисима в разное время, но двигались почти по одному маршруту.",китай тайвань,"{""Сакисима"": ""PER"", ""Окинава"": ""LOC"", ""Иомиури"": ""ORG"", ""Восточно"": ""ORG"", ""Китайского моря"": ""LOC"", ""Тихого океана"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Президент Турции Реджеп Тайип Эрдоган презедент Турции прибыл в Сочи, где в пятницу состоятся его переговоры с российским коллегой Владимиром Путиным. О прилете турецкого лидера сообщил телеканал ТРТ.",экономика,"{""Турции"": ""LOC"", ""Реджеп Тайип Эрдоган презедент Турции"": ""PER"", ""Сочи"": ""LOC"", ""Владимиром Путиным"": ""PER"", ""ТРТ"": ""ORG""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки продолжают придерживаться политики ""одного Китая"" и не выступают за предоставление Тайваню независимости — Блинкен",китай тайвань,"{""соединенные штаты америки"": ""LOC"", ""Китая"": ""LOC"", ""Тайваню"": ""PER"", ""Блинкен"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,Китай анонсировал санкции против Пелоси член Палаты представителей Конгресса Соединенных штатов америки и ее ближайших родственников,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Китай"": ""LOC"", ""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Поездка Пелоси член Палаты представителей Конгресса Соединенных штатов америки на Тайвань – вульгарная комедия, которая обернется для соединенные штаты америки серьезными последствиями, отколоть остров от Китая не выйдет — глава министерство инстранных дел китайская народная республика",китай тайвань,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""Китая"": ""LOC"", ""министерство инстранных дел"": ""ORG"", ""китайская народная республика"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Министр иностранных дел китайская народная республика Ван И призвал мировое сообщество объединить усилия для того, чтобы противостоять давлению Соединённых Штатов и предотвратить их вмешательство во внутреннюю политику других государствПо словам дипломата, если этого не сделать сейчас, то мир вернётся к законам джунглей. Он рассказал о недопустимости превосходства соединенные штаты америки, которое будет использовано для подавления других стран, сообщает пресс-служба министерство инстранных дел китайская народная республика",китай тайвань,"{""китайская народная республика"": ""LOC"", ""Ван"": ""PER"", ""Соединённых Штатов"": ""LOC"", ""соединенные штаты америки"": ""LOC"", ""министерство инстранных дел"": ""ORG""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Министр обороны Израиля Ганц распорядился продолжать операцию против ""Исламского джихада""",израиль,"{""Израиля"": ""LOC""}"
"Aug 6, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Трамп заявил, что Америка пала ""Мы больше не являемся энергетически независимой или энергетически доминирующей страной, какими мы были всего два года назад.  Мы нация, которая выпрашивает у Венесуэлы и Саудовской Аравии нефть. ""Пожалуйста, пожалуйста, пожалуйста, помогите нам"", - говорит Байден.",экономика,"{""Америка"": ""PER"", ""Венесуэлы"": ""LOC"", ""Саудовской Аравии нефть"": ""ORG"", ""Байден"": ""PER""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"За последние два часа в сторону Израиля было выпущено порядка 100 ракет из сектора Газа Однако, по данным The Times of Israel, не было зафиксировано ни попаданий по жилым домам, ни человеческих жертв.Единственные пострадавшие — два человека, которым врачам пришлось оказывать помощь из-за случившихся у них панических атак.",израиль,"{""Израиля"": ""LOC"", ""Газа"": ""LOC"", ""The Times of Israel"": ""ORG"", ""Единственные"": ""ORG""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"соединенные штаты америки не расширяют свой ядерный арсенал при проведении программы модернизации вооруженийОб этом заявила руководитель Национального управления ядерной безопасности (НУЯБ) при министерстве энергетики Джилл Хруби, выступая на мероприятии в рамках обзорной конференции Договора о нераспространении ядерного оружия (ДНЯО).",ядерное,"{""соединенные штаты америки"": ""LOC"", ""Национального управления"": ""ORG"", ""безопасности ( НУЯБ )"": ""ORG"", ""Джилл Хруби"": ""PER""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Тем временем в секторе ГазаОчевидцы публикуют фото объектов, по которым ударили израильские ракеты",израиль,"{""Газа"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Маск предложил выпустить из американских тюрем осужденных по делам о наркотиках, раз Байден ""так усердно"" хочет вернуть из России в Штаты осужденную за контрабанду наркотиков баскетболистку Бриттни Грайнер",происществия,"{""Байден"": ""PER"", ""России"": ""LOC"", ""Штаты"": ""LOC"", ""Бриттни Грайнер"": ""PER""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,Аллаху Акбар!Видео с пуском ракет по Израилю со стороны сектора Газа,израиль,"{""Израилю"": ""LOC"", ""Газа"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Израиль атакует цеха по производству оружия, склады и огневые позиции радикальной группировки ""Исламский джихад"" по всему сектору Газа, сообщает армия",израиль,"{""Израиль"": ""LOC"", ""Исламский джихад"": ""ORG"", ""Газа"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Министр обороны Израиля утвердил приказ о призыве до 25000 резервистов ""для оперативных целей"" — пресс-служба",израиль,"{""Израиля"": ""LOC""}"
"Aug 5, 2022 @ 03:00:00.000",https://t.me/nrpublic,"После авиаудара Израиля по сектору Газа 4 погибших и 20 пострадавших. Среди жертв — ребёнок. Об этом заявили местные власти.При этом группировка ""Исламский джихад"" подтвердила гибель одного из своих командиров.",израиль,"{""Израиля"": ""LOC"", ""Газа"": ""LOC"", ""Исламский джихад"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Израиль подтверждает, что перемирие с ""Исламским джихадом"" вступает в силу в 23.30 — пресс-служба премьера",израиль,"{""Израиль"": ""LOC""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Прекращение огня с Израилем вступает в силу в 23:30, заявил лидер палестинской группировки ""Исламский джихад""** запрещена в Российская Федерация организация",израиль,"{""Израилем"": ""LOC"", ""Исламский джихад \"" * * запрещена"": ""ORG"", ""Российская Федерация"": ""LOC""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Палестинская группировка ""Исламский джихад"" подтвердила заключение перемирия с Израилем — AFP со ссылкой на заявление",израиль,"{""Исламский джихад"": ""ORG"", ""Израилем"": ""LOC"", ""AFP"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Минздрав сектора Газа сообщил, что число погибших при обстреле анклава со стороны Израиля достигло 41, среди них 15 детей и 4 женщин",израиль,"{""Минздрав сектора"": ""ORG"", ""Газа"": ""LOC"", ""Израиля"": ""LOC""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Установление режима прекращения огня в зоне палестино-израильского конфликта срывается из-за требований радикальной группировки ""Исламский джихад"" к Египту предоставить ей ряд гарантий, сообщает вечером телеканал ""Аль-Джазира"".",израиль,"{""Исламский джихад"": ""ORG"", ""Египту"": ""LOC"", ""\"" Аль"": ""PER"", ""Джазира \"""": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Премьер Израиля заявил, что цели военной операции в секторе Газа достигнуты, смысла продолжать её нет, передает местное ТВ.",израиль,"{""Израиля"": ""LOC"", ""Газа"": ""LOC"", ""ТВ"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,Перемирие в секторе Газа начнётся в 20:00 по местному времени (то же что и мск) — Reuters со ссылкой на палестинского чиновника,израиль,"{""Газа"": ""LOC"", ""Reuters"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Израиль согласился на предложенное перемирие в Газе, переговорщики из Египта ждут ответ Палестины — СМИ со ссылкой на источник",израиль,"{""Израиль"": ""LOC"", ""Газе"": ""LOC"", ""Египта"": ""LOC"", ""Палестины"": ""LOC"", ""СМИ"": ""ORG""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,Байден снова получил отрицательный тест на коронавирус — лечащий врачПрезидент соединенные штаты америки окончательно излечился от коронавируса.,ковид,"{""Байден"": ""PER"", ""соединенные штаты америки"": ""LOC""}"
"Aug 7, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Олег Дерипаска призвал ликвидировать ядерное оружие и вовсе запретить его""Вчера как всегда незамеченным прошел Всемирный день борьбы за запрещение ядерного оружия"", — написал он в Telegram. Миллиардер отметил, что ядерное оружие висит дамокловым мечом над миром и угрожает ""в течение всего нескольких часов"" уничтожить его ""раз и навсегда"".""Сахаров и многие другие ученые последовательно пытались добиться решения этой проблемы"", — добавил Дерипаска.",ядерное,"{""Олег Дерипаска"": ""PER"", ""Telegram"": ""ORG"", ""Дерипаска"": ""PER""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Пелоси член Палаты представителей Конгресса Соединенных штатов америки в Южной КорееВечером она планирует посетить границу с корейская народно демократическая республика - пункт Пханмунджом, где среди прочего проходила встреча Трампа с Ким Чен Ыном в 2019.",корея,"{""Южной Корее"": ""LOC"", ""корейская народно демократическая республика"": ""LOC"", ""Пханмунджом"": ""LOC"", ""Трампа"": ""PER"", ""Ким Чен Ыном"": ""PER""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"На Камчатке вертолёт Ми-2 совершил жёсткую посадкуНа борту находился только пилот Алексей Резник, он не пострадал. В результате аварийной посадки вертолёт оказался завален на левый борт, повреждены винты.",происществия,"{""Алексей Резник"": ""PER""}"
"Aug 4, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Народно-осободительная армия Китая (НОАК) приступила к масштабным военным учениям с боевыми стрельбами Они пройдут в шести акваториях вокруг Тайваня, передает CGTN (Центральное телевидение Китая).",китай тайвань,"{""Китая"": ""LOC"", ""НОАК"": ""ORG"", ""Тайваня"": ""PER"", ""CGTN ( Центральное телевидение"": ""ORG""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,"корейская народно демократическая республика вышла из Договора о нераспространении ядерного оружия на законных основаниях и имеет право на самооборону, говорится в заявлении постпредства корейская народно демократическая республика при ООН.",ядерное,"{""корейская народно демократическая республика"": ""LOC"", ""ООН"": ""ORG""}"
"Aug 3, 2022 @ 03:00:00.000",https://t.me/nrpublic,Данных о погибших на складе Ozon пока нет — МЧС,происществия,"{""МЧС"": ""ORG""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,"Песков: удалось избежать обострения конфликта между самопровозглашенным Косово и Белградом, он отложен на месяц, Москва поддерживает миролюбивую конструктивную позицию Белграда, страны-гаранты должны оказать влияние, чтобы избежать непродуманных шагов",сербия,"{""Песков"": ""PER"", ""Косово"": ""LOC"", ""Белградом"": ""LOC"", ""Москва"": ""LOC"", ""Белграда"": ""LOC""}"
"Aug 1, 2022 @ 03:00:00.000",https://t.me/nrpublic,Пелоси член Палаты представителей Конгресса Соединенных штатов америки может прибыть на Тайвань вечером во вторник — Киодо со ссылкой на тайваньские СМИ,прилет Пелоси член Палаты представителей Конгресса Соединенных штатов америки,"{""Пелоси член Палаты представителей Конгресса Соединенных штатов америки"": ""PER"", ""Тайвань"": ""LOC"", ""Киодо"": ""ORG"", ""СМИ"": ""ORG""}"
